MOB.021.Vag.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Vag.R1.fastq
Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;g__Sneathia	0	0	0	0	0	281	388	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Microbacteriaceae;g__Cryobacterium	0	0	0	0	24	0	41	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;g__Oscillibacter	65	338	0	1628	17	78	5	555	2	7
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Coprococcus	60	145	0	8493	66	143	0	399	2	11
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Varibaculum	98	20	15	0	11	118	0	220	7	557
Actinobacteriota;Actinobacteria;Actinomycetales;Brevibacteriaceae;g__Brevibacterium	0	0	0	0	513	3	15	8	0	101
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;g__Porphyromonas	402	225	0	0	179	892	0	514	3	190
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Urinacoccus	4	67	0	0	281	713	36	81	4	209
Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;g__Staphylococcus	530	217	3320	99	1733	11	1076	47	140	763
Firmicutes;Bacilli_A;Paenibacillales;Paenibacillaceae;g__Paenibacillus_G	0	0	0	0	14	6	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Faecalibacterium	492	3851	0	73447	700	1335	160	4394	55	75
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Prevotella	3008	16473	13	7759	3033	3649	178	5222	105	669
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;g__Lactobacillus	465	1635	1851	421	350	69	159	167	20	51891
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Fusicatenibacter	188	167	0	17674	55	323	10	89	5	5
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus_A	2241	6117	7	7	4853	15868	5667	3765	624	3139
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Anaerococcus	2243	13495	21	11	6130	8143	13136	2650	518	904
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;g__Zag111	0	68	0	0	0	17	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__UBA6382	0	43	0	0	0	0	0	8	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;g__Corynebacterium	23	1497	9	20	15869	341	22913	1911	4	1996
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Parasutterella	0	0	0	548	0	89	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Neofamilia	0	0	0	0	436	0	0	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;g__Collinsella	259	943	0	1527	252	232	29	388	21	10
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus_C	650	1431	0	1	298	2437	822	844	46	220
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Prevotellamassilia	0	545	0	1878	43	0	41	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__UBA1382	0	0	0	0	0	4	0	4	0	9
Verrucomicrobiota;Lentisphaeria;UBA1784;GWF2-45-14;g__GWF2-44-16	0	0	0	7	0	0	0	2	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;g__Brachybacterium	0	0	0	0	20	0	38	15	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Lagierella	307	71	0	0	0	1675	0	16	48	20
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;g__Megasphaera	0	118	0	571	48	0	72	0	0	0
Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;g__Brevundimonas	0	0	0	0	13	0	63	0	0	33
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;g__Pseudoxanthomonas_A	0	0	0	0	0	0	0	0	0	6
Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;g__Fusobacterium_A	0	0	0	2275	0	0	63	0	0	0
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;g__Campylobacter_B	502	2008	0	1	175	269	10	109	4	634
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;g__Escherichia	28792	44	3126	16950	0	0	4	30	12307	4
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Eubacterium_E	139	307	0	7265	40	120	6	1076	13	9
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;g__Anaerorhabdus	0	0	0	21	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;g__Lactobacillus_B	69	47	0	319	15	0	9	90	0	0
